Marvel,DC
Black Panther Variant 232,Booster Gold Variant 232
Doctor Strange Variant 233,Swamp Thing Variant 233
Scarlet Witch Variant 234,Batman Variant 234
Captain Marvel Variant 235,Superman Variant 235
Daredevil Variant 236,Wonder Woman Variant 236
Punisher Variant 237,Flash Variant 237
Ghost Rider Variant 238,Aquaman Variant 238
Venom Variant 239,Green Lantern Variant 239
Carnage Variant 240,Cyborg Variant 240
Magneto Variant 241,Nightwing Variant 241
Loki Variant 242,Batgirl Variant 242
Thanos Variant 243,Robin Variant 243
Ultron Variant 244,Joker Variant 244
Green Goblin Variant 245,Harley Quinn Variant 245
Doctor Doom Variant 246,Lex Luthor Variant 246
Galactus Variant 247,Darkseid Variant 247
Silver Surfer Variant 248,Doomsday Variant 248
Jean Grey Variant 249,Deathstroke Variant 249
Storm Variant 250,Raven Variant 250
Cyclops Variant 251,Starfire Variant 251
Rogue Variant 252,Beast Boy Variant 252
Gambit Variant 253,Constantine Variant 253
Nightcrawler Variant 254,Shazam Variant 254
Colossus Variant 255,Black Adam Variant 255
Beast Variant 256,Green Arrow Variant 256
Iceman Variant 257,Hawkgirl Variant 257
Emma Frost Variant 258,Martian Manhunter Variant 258
Mystique Variant 259,Supergirl Variant 259
Sabretooth Variant 260,Zatanna Variant 260
Juggernaut Variant 261,Bane Variant 261
Apocalypse Variant 262,Scarecrow Variant 262
Mr Fantastic Variant 263,Penguin Variant 263
Invisible Woman Variant 264,Two-Face Variant 264
Human Torch Variant 265,Riddler Variant 265
Thing Variant 266,Poison Ivy Variant 266
Namor Variant 267,Brainiac Variant 267
Moon Knight Variant 268,Sinestro Variant 268
Blade Variant 269,Reverse Flash Variant 269
Spider-Man Variant 270,Blue Beetle Variant 270
Iron Man Variant 271,Booster Gold Variant 271
Captain America Variant 272,Swamp Thing Variant 272
Thor Variant 273,Batman Variant 273
Hulk Variant 274,Superman Variant 274
Wolverine Variant 275,Wonder Woman Variant 275
Deadpool Variant 276,Flash Variant 276
Black Panther Variant 277,Aquaman Variant 277
Doctor Strange Variant 278,Green Lantern Variant 278
Scarlet Witch Variant 279,Cyborg Variant 279
Captain Marvel Variant 280,Nightwing Variant 280
Daredevil Variant 281,Batgirl Variant 281
Punisher Variant 282,Robin Variant 282
Ghost Rider Variant 283,Joker Variant 283
Venom Variant 284,Harley Quinn Variant 284
Carnage Variant 285,Lex Luthor Variant 285
Magneto Variant 286,Darkseid Variant 286
Loki Variant 287,Doomsday Variant 287
Thanos Variant 288,Deathstroke Variant 288
Ultron Variant 289,Raven Variant 289
Green Goblin Variant 290,Starfire Variant 290
Doctor Doom Variant 291,Beast Boy Variant 291
Galactus Variant 292,Constantine Variant 292
Silver Surfer Variant 293,Shazam Variant 293
Jean Grey Variant 294,Black Adam Variant 294
Storm Variant 295,Green Arrow Variant 295
Cyclops Variant 296,Hawkgirl Variant 296
Rogue Variant 297,Martian Manhunter Variant 297
Gambit Variant 298,Supergirl Variant 298
Nightcrawler Variant 299,Zatanna Variant 299
Colossus Variant 300,Bane Variant 300
Beast Variant 301,Scarecrow Variant 301
Iceman Variant 302,Penguin Variant 302
Emma Frost Variant 303,Two-Face Variant 303
Mystique Variant 304,Riddler Variant 304
Sabretooth Variant 305,Poison Ivy Variant 305
Juggernaut Variant 306,Brainiac Variant 306
Apocalypse Variant 307,Sinestro Variant 307
Mr Fantastic Variant 308,Reverse Flash Variant 308
Invisible Woman Variant 309,Blue Beetle Variant 309
Human Torch Variant 310,Booster Gold Variant 310
Thing Variant 311,Swamp Thing Variant 311
Namor Variant 312,Batman Variant 312
Moon Knight Variant 313,Superman Variant 313
Blade Variant 314,Wonder Woman Variant 314
Spider-Man Variant 315,Flash Variant 315
Iron Man Variant 316,Aquaman Variant 316
Captain America Variant 317,Green Lantern Variant 317
Thor Variant 318,Cyborg Variant 318
Hulk Variant 319,Nightwing Variant 319
Wolverine Variant 320,Batgirl Variant 320
Deadpool Variant 321,Robin Variant 321
Black Panther Variant 322,Joker Variant 322
Doctor Strange Variant 323,Harley Quinn Variant 323
Scarlet Witch Variant 324,Lex Luthor Variant 324
Captain Marvel Variant 325,Darkseid Variant 325
Daredevil Variant 326,Doomsday Variant 326
Punisher Variant 327,Deathstroke Variant 327
Ghost Rider Variant 328,Raven Variant 328
Venom Variant 329,Starfire Variant 329
Carnage Variant 330,Beast Boy Variant 330
Magneto Variant 331,Constantine Variant 331
Loki Variant 332,Shazam Variant 332
Thanos Variant 333,Black Adam Variant 333
Ultron Variant 334,Green Arrow Variant 334
Green Goblin Variant 335,Hawkgirl Variant 335
Doctor Doom Variant 336,Martian Manhunter Variant 336
Galactus Variant 337,Supergirl Variant 337
Silver Surfer Variant 338,Zatanna Variant 338
Jean Grey Variant 339,Bane Variant 339
Storm Variant 340,Scarecrow Variant 340
Cyclops Variant 341,Penguin Variant 341
Rogue Variant 342,Two-Face Variant 342
Gambit Variant 343,Riddler Variant 343
Nightcrawler Variant 344,Poison Ivy Variant 344
Colossus Variant 345,Brainiac Variant 345
Beast Variant 346,Sinestro Variant 346
Iceman Variant 347,Reverse Flash Variant 347
Emma Frost Variant 348,Blue Beetle Variant 348
Mystique Variant 349,Booster Gold Variant 349
Sabretooth Variant 350,Swamp Thing Variant 350
Juggernaut Variant 351,Batman Variant 351
Apocalypse Variant 352,Superman Variant 352
Mr Fantastic Variant 353,Wonder Woman Variant 353
Invisible Woman Variant 354,Flash Variant 354
Human Torch Variant 355,Aquaman Variant 355
Thing Variant 356,Green Lantern Variant 356
Namor Variant 357,Cyborg Variant 357
Moon Knight Variant 358,Nightwing Variant 358
Blade Variant 359,Batgirl Variant 359
Spider-Man Variant 360,Robin Variant 360
Iron Man Variant 361,Joker Variant 361
Captain America Variant 362,Harley Quinn Variant 362
Thor Variant 363,Lex Luthor Variant 363
Hulk Variant 364,Darkseid Variant 364
Wolverine Variant 365,Doomsday Variant 365
Deadpool Variant 366,Deathstroke Variant 366
Black Panther Variant 367,Raven Variant 367
Doctor Strange Variant 368,Starfire Variant 368
Scarlet Witch Variant 369,Beast Boy Variant 369
Captain Marvel Variant 370,Constantine Variant 370
Daredevil Variant 371,Shazam Variant 371
Punisher Variant 372,Black Adam Variant 372
Ghost Rider Variant 373,Green Arrow Variant 373
Venom Variant 374,Hawkgirl Variant 374
Carnage Variant 375,Martian Manhunter Variant 375
Magneto Variant 376,Supergirl Variant 376
Loki Variant 377,Zatanna Variant 377
Thanos Variant 378,Bane Variant 378
Ultron Variant 379,Scarecrow Variant 379
Green Goblin Variant 380,Penguin Variant 380
Doctor Doom Variant 381,Two-Face Variant 381
Galactus Variant 382,Riddler Variant 382
Silver Surfer Variant 383,Poison Ivy Variant 383
Jean Grey Variant 384,Brainiac Variant 384
Storm Variant 385,Sinestro Variant 385
Cyclops Variant 386,Reverse Flash Variant 386
Rogue Variant 387,Blue Beetle Variant 387
Gambit Variant 388,Booster Gold Variant 388
Nightcrawler Variant 389,Swamp Thing Variant 389
Colossus Variant 390,Batman Variant 390
Beast Variant 391,Superman Variant 391
Iceman Variant 392,Wonder Woman Variant 392
Emma Frost Variant 393,Flash Variant 393
Mystique Variant 394,Aquaman Variant 394
Sabretooth Variant 395,Green Lantern Variant 395
Juggernaut Variant 396,Cyborg Variant 396
Apocalypse Variant 397,Nightwing Variant 397
Mr Fantastic Variant 398,Batgirl Variant 398
Invisible Woman Variant 399,Robin Variant 399
Human Torch Variant 400,Joker Variant 400
Thing Variant 401,Harley Quinn Variant 401
Namor Variant 402,Lex Luthor Variant 402
Moon Knight Variant 403,Darkseid Variant 403
Blade Variant 404,Doomsday Variant 404
Spider-Man Variant 405,Deathstroke Variant 405
Iron Man Variant 406,Raven Variant 406
Captain America Variant 407,Starfire Variant 407
Thor Variant 408,Beast Boy Variant 408
Hulk Variant 409,Constantine Variant 409
Wolverine Variant 410,Shazam Variant 410
Deadpool Variant 411,Black Adam Variant 411
Black Panther Variant 412,Green Arrow Variant 412
Doctor Strange Variant 413,Hawkgirl Variant 413
Scarlet Witch Variant 414,Martian Manhunter Variant 414
Captain Marvel Variant 415,Supergirl Variant 415
Daredevil Variant 416,Zatanna Variant 416
Punisher Variant 417,Bane Variant 417
Ghost Rider Variant 418,Scarecrow Variant 418
Venom Variant 419,Penguin Variant 419
Carnage Variant 420,Two-Face Variant 420
Magneto Variant 421,Riddler Variant 421
Loki Variant 422,Poison Ivy Variant 422
Thanos Variant 423,Brainiac Variant 423
Ultron Variant 424,Sinestro Variant 424
Green Goblin Variant 425,Reverse Flash Variant 425
Doctor Doom Variant 426,Blue Beetle Variant 426
Galactus Variant 427,Booster Gold Variant 427
Silver Surfer Variant 428,Swamp Thing Variant 428
Jean Grey Variant 429,Batman Variant 429
Storm Variant 430,Superman Variant 430
Cyclops Variant 431,Wonder Woman Variant 431
Rogue Variant 432,Flash Variant 432
Gambit Variant 433,Aquaman Variant 433
Nightcrawler Variant 434,Green Lantern Variant 434
Colossus Variant 435,Cyborg Variant 435
Beast Variant 436,Nightwing Variant 436
Iceman Variant 437,Batgirl Variant 437
Emma Frost Variant 438,Robin Variant 438
Mystique Variant 439,Joker Variant 439
Sabretooth Variant 440,Harley Quinn Variant 440
Juggernaut Variant 441,Lex Luthor Variant 441
Apocalypse Variant 442,Darkseid Variant 442
Mr Fantastic Variant 443,Doomsday Variant 443
Invisible Woman Variant 444,Deathstroke Variant 444
Human Torch Variant 445,Raven Variant 445
Thing Variant 446,Starfire Variant 446
Namor Variant 447,Beast Boy Variant 447
Moon Knight Variant 448,Constantine Variant 448
Blade Variant 449,Shazam Variant 449
Spider-Man Variant 450,Black Adam Variant 450
Iron Man Variant 451,Green Arrow Variant 451
Captain America Variant 452,Hawkgirl Variant 452
Thor Variant 453,Martian Manhunter Variant 453
Hulk Variant 454,Supergirl Variant 454
Wolverine Variant 455,Zatanna Variant 455
Deadpool Variant 456,Bane Variant 456
Black Panther Variant 457,Scarecrow Variant 457
Doctor Strange Variant 458,Penguin Variant 458
Scarlet Witch Variant 459,Two-Face Variant 459
Captain Marvel Variant 460,Riddler Variant 460
Daredevil Variant 461,Poison Ivy Variant 461
Punisher Variant 462,Brainiac Variant 462
Ghost Rider Variant 463,Sinestro Variant 463
Venom Variant 464,Reverse Flash Variant 464
Carnage Variant 465,Blue Beetle Variant 465
Magneto Variant 466,Booster Gold Variant 466
Loki Variant 467,Swamp Thing Variant 467
Thanos Variant 468,Batman Variant 468
Ultron Variant 469,Superman Variant 469
Green Goblin Variant 470,Wonder Woman Variant 470
Doctor Doom Variant 471,Flash Variant 471
Galactus Variant 472,Aquaman Variant 472
Silver Surfer Variant 473,Green Lantern Variant 473
Jean Grey Variant 474,Cyborg Variant 474
Storm Variant 475,Nightwing Variant 475
Cyclops Variant 476,Batgirl Variant 476
Rogue Variant 477,Robin Variant 477
Gambit Variant 478,Joker Variant 478
Nightcrawler Variant 479,Harley Quinn Variant 479
Colossus Variant 480,Lex Luthor Variant 480
Beast Variant 481,Darkseid Variant 481
Iceman Variant 482,Doomsday Variant 482
Emma Frost Variant 483,Deathstroke Variant 483
Mystique Variant 484,Raven Variant 484
Sabretooth Variant 485,Starfire Variant 485
Juggernaut Variant 486,Beast Boy Variant 486
Apocalypse Variant 487,Constantine Variant 487
Mr Fantastic Variant 488,Shazam Variant 488
Invisible Woman Variant 489,Black Adam Variant 489
Human Torch Variant 490,Green Arrow Variant 490
Thing Variant 491,Hawkgirl Variant 491
Namor Variant 492,Martian Manhunter Variant 492
Moon Knight Variant 493,Supergirl Variant 493
Blade Variant 494,Zatanna Variant 494
Spider-Man Variant 495,Bane Variant 495
Iron Man Variant 496,Scarecrow Variant 496
Captain America Variant 497,Penguin Variant 497
Thor Variant 498,Two-Face Variant 498
Hulk Variant 499,Riddler Variant 499
