Character,Universe
Catherine the Great,Historical / Real World
Catwoman,DC
Celebrimbor,Needs Review / Unknown
Cell,Dragon Ball
Cersei Lannister,Game of Thrones
Charizard,Pokemon
Charlemagne,Historical / Real World
Charles Darwin,Historical / Real World
Charlotte Linlin,One Piece
Cheetah,DC
Chernabog,Disney
Chester A. Arthur,Historical / Real World
Chris Henry,Custom / A.v.A
Christopher Columbus,Historical / Real World
Chuck Norris,Historical / Real World
Chun-Li,Street Fighter
Circe,DC
Ciri,The Witcher
Clarence Boddicker,RoboCop
Cleopatra,Historical / Real World
Cloud Strife,Final Fantasy
Clubber Lang,Rocky
Cobra,Needs Review / Unknown
Cole MacGrath,Infamous
Colonel Hans Landa,Needs Review / Unknown
Colossus,Marvel
Commander Rourke,Needs Review / Unknown
Commander Shepard,Mass Effect
Conan the Barbarian,Needs Review / Unknown
Condiment Man,Needs Review / Unknown
Connor MacLeod,Highlander
Constantine,DC
Cortana,Halo
Count Dooku,Star Wars
Count Dracula,Horror
Courage the Cowardly Dog,Courage the Cowardly Dog
Crazy Horse,Historical / Real World
Crazy Quilt,DC
Cruella De Vil,Disney
Cuchulainn,Fate
Cyborg,DC
Cyclops,Marvel
Dabi,My Hero Academia
Daenerys Targaryen,Game of Thrones
Dalton,Road House
Damage,DC
Dante,Devil May Cry
Daredevil,Marvel
Darkseid,DC
Darkwing Duck,Disney
Darren Shan,Darren Shan Saga
Darth Maul,Star Wars
Darth Vader,Star Wars
Dash Parr,Needs Review / Unknown
Davy Jones,Pirates of the Caribbean
Deadman,DC
Deadpool,Marvel
Deathstroke,DC
Delsin Rowe,Infamous
Denji,Chainsaw Man
Dervish Grady,Darren Shan Saga
Devastator,Transformers
Diablo,Diablo
Dio Brando,JoJo's Bizarre Adventure
Dobby,Harry Potter
Doctor Doom,Marvel
Doctor Fate,DC
Doctor Manhattan,DC
Doctor Strange,Marvel
Dogwelder,DC
Doma,Demon Slayer
Donald Trump,Disney
Donatello,Teenage Mutant Ninja Turtles
Donna Troy,DC
Doomsday,DC
Doomslayer,Doom
Dormammu,Marvel
Dovahkiin,The Elder Scrolls
Dove,DC
Dr. Doofenshmirtz,Phineas and Ferb
Dr. Facilier,Disney
Draco Malfoy,Harry Potter
Dracule Mihawk,One Piece
Dream (The Endless),DC
Duke Nukem,Duke Nukem
Dumbledore,Harry Potter
Durin's Bane,Lord of the Rings
Dutch,Predator
Dwight D. Eisenhower,Historical / Real World
EVE,Disney
Echo,DC
Eclipso,DC
Edward Elric,Fullmetal Alchemist
El Mariachi,Mexico Trilogy
Elaine Belloc,DC
Elden Beast,Elden Ring
Elektra,Marvel
Ellen Ripley,Alien
Ellen Ripley (Power Loader),Alien
Ellie,The Last of Us
Elongated Man,DC
Elsa,Disney
Elsa Bloodstone,Marvel
Emma Frost,Marvel
Endeavor,My Hero Academia
Eren Yeager,Attack on Titan
Erza Scarlet,Fairy Tail
Escanor,Seven Deadly Sins
Ethan Hunt,Mission: Impossible
Etrigan the Demon,DC
Ezio Auditore da Firenze,Assassin's Creed
Falcon,Marvel
Father,Fullmetal Alchemist
Fenrir Greyback,Harry Potter
Ferdinand Magellan,Historical / Real World
Filius Flitwick,Harry Potter
Finn the Human,Adventure Time
Fire,Avatar: The Last Airbender
Fire Lord Ozai,Avatar: The Last Airbender
Firestorm,DC
Fix-It Felix Jr.,Disney
Flash,DC
Florence Nightingale,Historical / Real World
Flynn Rider,Disney
Forbush Man,Marvel
Frank Booth,Needs Review / Unknown
Frank Dux,Historical / Real World
Franklin D. Roosevelt,Historical / Real World
Franklin Pierce,Historical / Real World
Franklin Richards,Marvel
Freddy Krueger,Horror
Frederick Douglass,Historical / Real World
Frieza,Dragon Ball
Frodo Baggins,Lord of the Rings
Frog-Man,Marvel
Frozone,Disney
Galactus,Marvel
Galileo Galilei,Historical / Real World
Gallantmon,Digimon
Gambit,Marvel
Gandalf,Lord of the Rings
Ganondorf,The Legend of Zelda
Gaston,Disney
Gehrman,Bloodborne
Gellert Grindelwald,Harry Potter
General Grievous,Star Wars
General Zod,DC
Gengar,Pokemon
Genghis Khan,Historical / Real World
Genie,Disney
Genryusai Yamamoto,Bleach
George H.W. Bush,Historical / Real World
George W. Bush,Historical / Real World
George Washington,Historical / Real World
Gerald Ford,Historical / Real World
Geralt of Rivia,The Witcher
Geronimo,Historical / Real World
Ghost (Simon Riley),Call of Duty
Ghost Rider,Marvel
Ghost-Spider,Marvel
Gildarts Clive,Fairy Tail
Gilgamesh,Fate
Giorno Giovanna,JoJo's Bizarre Adventure
Gizmoduck,Disney
Gladiator,Marvel
GoGo Tomago,Disney
Godfrey First Elden Lord,Elden Ring
Godzilla,Godzilla
Gogeta,Dragon Ball
Gohan,Dragon Ball
Gojo Satoru,Jujutsu Kaisen
Goku,Dragon Ball
Gol D. Roger,One Piece
Gollum,Lord of the Rings
Gordon Freeman,Half-Life
Gorilla Grodd,DC
Goro,Mortal Kombat
Grand Admiral Thrawn,Star Wars
Granny Goodness,DC
Green Arrow,DC
Green Goblin,Marvel
Green Lantern,DC
Gregor Clegane,Game of Thrones
Grimlock,Transformers
Groot,Marvel
Grover Cleveland,Historical / Real World
Grubbs Grady,Darren Shan Saga
Guile,Street Fighter
Guy Gardner,DC
Gwenpool,Marvel
Gyutaro,Demon Slayer
Hades,Disney / Greek Mythology
Hagoromo Otsutsuki,Naruto
Han Solo,Star Wars
Hannibal Barca,Historical / Real World
Hannibal Lecter,Needs Review / Unknown
Hans,Die Hard
Hans Gruber,Die Hard
Harkat Mulds,Darren Shan Saga
Harley Quinn,DC
Harriet Tubman,Historical / Real World
Harry Callahan,Dirty Harry
Harry Potter,Harry Potter
Harry S. Truman,Historical / Real World
Harry Tasker,True Lies
Hashirama Senju,Naruto
Havok,Marvel
Hawk,DC
Hawkeye,Marvel
Hawkgirl,DC
Hawkman,DC
Heat Wave,DC
Hela,Marvel
Henry Rollins,Historical / Real World
Herbert Hoover,Historical / Real World
Hercules,Disney / Greek Mythology
Hercules (Marvel),Marvel
Hermione Granger,Harry Potter
Hernán Cortés,Historical / Real World
Hiro Hamada,Disney
Homelander,The Boys
Hulk,Marvel
Human Torch,Marvel
Huntress,DC
Hyperion,Marvel
Hyperstorm,Marvel
Ice,DC
Iceman,Marvel
Ichibei Hyosube,Bleach
Ichigo Kurosaki,Bleach
Indiana Jones,Indiana Jones
Inosuke Hashibira,Demon Slayer
Invincible,Invincible
Invisible Woman,Marvel
Ip Man,Historical / Real World
Iron Fist,Marvel
Iron Lad,Marvel
Iron Man,Marvel
Isaac Clarke,Dead Space
Isaac Netero,Hunter x Hunter
Isaac Newton,Historical / Real World
Isshiki Otsutsuki,Naruto
Itachi Uchiha,Naruto
Ivan Drago,Rocky
Ivan the Terrible,Historical / Real World
Ivar the Boneless,Historical / Real World
Izuku Midoriya,My Hero Academia
JFK,Historical / Real World
Jack Burton,Big Trouble in Little China
Jack Hanma,Baki
Jack Reacher,Jack Reacher
Jack Skellington,Needs Review / Unknown
Jack Sparrow,Pirates of the Caribbean
Jack-Jack Parr,Needs Review / Unknown
Jade,Mortal Kombat
Jafar,Disney
Jaime Lannister,Game of Thrones
Jake the Dog,Adventure Time
James A. Garfield,Historical / Real World
James Bond,James Bond
James Buchanan,Historical / Real World
James K. Polk,Historical / Real World
James Madison,Historical / Real World
James Monroe,Historical / Real World
Jason Bourne,Bourne
Jason Voorhees,Horror
Jean Grey,Marvel
Jessica Cruz,DC
Jim Hawkins,Treasure Planet
Jimmy Carter,Historical / Real World
Jin Sakai,Ghost of Tsushima
Jiren,Dragon Ball
Joan of Arc,Historical / Real World
Joe Biden,Historical / Real World
Joel Miller,The Last of Us
John Adams,Historical / Real World
John Matrix,Commando
John McClane,Die Hard
John Quincy Adams,Historical / Real World
John Rambo,Rambo
John Shaft,Shaft
John Stewart,DC
John Tyler,Historical / Real World
John Wick,John Wick
Johnny Bravo,Johnny Bravo
Johnny Cage,Mortal Kombat
Johnny Utah,Point Break
Joker,DC
Jon Snow,Game of Thrones
Jotaro Kujo,JoJo's Bizarre Adventure
Judge Dredd,Judge Dredd
Judy Hopps,Needs Review / Unknown
Juggernaut,Marvel
Julius Caesar,Historical / Real World
Jumba Jookiba,Disney
Juni Swan,Custom / A.v.A
Kaguya Otsutsuki,Naruto
Kaido,One Piece
Kakashi Hatake,Naruto
Kamina,Gurren Lagann
Kang the Conqueror,Marvel
Karl Marx,Historical / Real World
Kars,JoJo's Bizarre Adventure
Katara,Avatar: The Last Airbender
Kate Bishop,Marvel
Ken Masters,Street Fighter
Kenpachi Zaraki,Bleach
Kenshiro,Fist of the North Star
Kernel Fleck,Custom / A.v.A
Keyser Soze,Needs Review / Unknown
Khal Drogo,Game of Thrones
Kida,Disney
Killer Bee,Naruto
Killer Croc,DC
Killer Frost,DC
Killua Zoldyck,Hunter x Hunter
Kim Possible,Kim Possible
King Candy,Disney
King Ghidorah,Godzilla
King Kong,Needs Review / Unknown
King Leonidas,Historical / Real World
King Louie,Disney
Kingpin,Marvel
Kingsley Shacklebolt,Harry Potter
Kirby,Mario
Kisuke Urahara,Bleach
Kitana,Mortal Kombat
Kite Man,DC
Klaw,Marvel
Knull,Marvel
Kokushibo,Demon Slayer
Kovu,Needs Review / Unknown
Krang,Teenage Mutant Ninja Turtles
Kratos,God of War
Kraven the Hunter,Marvel
Kronk,Disney
Kurda Smahlt,Darren Shan Saga
Kyle Rayner,DC
Kylo Ren,Star Wars
Lady Maria,Bloodborne
Lady Shiva,DC
Lara Croft,Tomb Raider
Larfleeze,DC
Larten Crepsley,Darren Shan Saga
Legolas,Lord of the Rings
Leia Organa,Star Wars
Lelouch vi Britannia,Code Geass
Leon,Resident Evil
Leonardo,Historical / Real World
Leonardo da Vinci,Historical / Real World
Leonidas I,Historical / Real World
Levi Ackerman,Attack on Titan
Lex Luthor,DC
Light Yagami,Death Note
Lilo Pelekai,Lilo & Stitch
Link,The Legend of Zelda
Little John,Disney
Liu Kang,Mortal Kombat
Living Tribunal,Marvel
Lobo,DC
Loki,Marvel
Long John Silver,Treasure Planet
Lord Loss,Darren Shan Saga
Lucario,Pokemon
Lucifer Morningstar,DC
Luisa Madrigal,Disney
Luke Cage,Marvel
Luke Skywalker,Star Wars
Luna Lovegood,Harry Potter
Lyndon B. Johnson,Historical / Real World
M. Bison,Street Fighter
Mace Windu,Star Wars
Machine Man,Marvel
Madam Mim,Disney
Madara Uchiha,Naruto
Maggott,Marvel
Magica De Spell,Disney
Magik,Marvel
Magneto,Marvel
Makima,Chainsaw Man
Maleficent,Disney
Malenia Blade of Miquella,Elden Ring
Maliketh the Black Blade,Elden Ring
Mansa Musa,Historical / Real World
Marco Polo,Historical / Real World
Marie Curie,Historical / Real World
Mario,Mario
Marshall D. Teach,One Piece
Martian Manhunter,DC
Martin Riggs,Needs Review / Unknown
Martin Van Buren,Historical / Real World
Master Chief,Halo
Master Splinter,Teenage Mutant Ninja Turtles
Matter-Eater Lad,DC
Maui,Disney
Max Rockatansky,Mad Max
Maximus Decimus Meridius,Gladiator
Mechagodzilla,Godzilla
Mega Man,Mega Man
Megara,Disney
Megatron,Transformers
Meliodas,Seven Deadly Sins
Mephisto,Marvel
Mera,DC
Merida,Disney
Merlin,Needs Review / Unknown
Meruem,Hunter x Hunter
MetalGarurumon,Digimon
Metamorpho,DC
Mewtwo,Pokemon
Michael Demiurgos,DC
Michael Myers,Horror
Michelangelo,Teenage Mutant Ninja Turtles
Mike Tyson,Needs Review / Unknown
Mileena,Mortal Kombat
Miles Morales,Marvel
Millard Fillmore,Historical / Real World
Milo Thatch,Disney
Minato Namikaze,Naruto
Mister Miracle,DC
Miyamoto Musashi,Historical / Real World
Moana,Disney
Moana's Te Fiti,Disney
Mob,Mob Psycho 100
Mohg Lord of Blood,Elden Ring
Molecule Man,Marvel
Mongul,DC
Monica Rambeau,Marvel
Monkey D. Dragon,One Piece
Monkey D. Luffy,One Piece
Montezuma II,Historical / Real World
Moon Knight,Marvel
Moon Presence,Bloodborne
Moondragon,Marvel
Mor'du,Needs Review / Unknown
Mother Gothel,Disney
Mowgli,Disney
Mr Fantastic,Marvel
Mr. Freeze,DC
Mr. Immortal,Marvel
Mr. Incredible,Needs Review / Unknown
Mr. Mxyzptlk,DC
Mr. Terrific,DC
Mr. Tiny,Darren Shan Saga
Ms. Marvel,Marvel
Mufasa,Disney
Muhammad Ali,Historical / Real World
Mulan,Disney
Murlough,Darren Shan Saga
Mushu,Disney
Muzan Kibutsuji,Demon Slayer
Mystique,Marvel
Nagato (Pain),Naruto
Nala,Disney
Namor,Marvel
Namora,Marvel
Namorita,Marvel
Napoleon Bonaparte,Historical / Real World
Naruto Uzumaki,Naruto
Nathan Drake,Uncharted
Natsu Dragneel,Fairy Tail
Nekron,DC
Nemesis,Needs Review / Unknown
Neo,The Matrix
Neville Longbottom,Harry Potter
Nick Fury,Marvel
Nick Wilde,Disney
Night King,Game of Thrones
Nightcrawler,Marvel
Nightwing,DC
Nikola Tesla,Historical / Real World
Noctis Lucis Caelum,Final Fantasy
Nova,Marvel
Nova Prime,Marvel
Nurse Ratched,One Flew Over the Cuckoo's Nest
Nymphadora Tonks,Harry Potter
Oberyn Martell,Game of Thrones
Obi-Wan Kenobi,Star Wars
Obito Uchiha,Naruto
Oda Nobunaga,Historical / Real World
Odin,Needs Review / Unknown
Odysseus,Historical / Real World
Oliver Cromwell,Historical / Real World
Olivier Mira Armstrong,Fullmetal Alchemist
Omega Red,Marvel
Omni-Man,Invincible
Omnimon,Digimon
Onslaught,Marvel
Optimus Prime,Transformers
Orion,DC
Pachacuti,Historical / Real World
Pain and Panic,Disney
Palpatine,Star Wars
Parallax,DC
Paris Skyle,Custom / A.v.A
Penguin,DC
Pennywise,Horror
Perpetua,DC
Perry the Platypus,Phineas and Ferb
Pete,Disney
Peter the Great,Historical / Real World
Philoctetes,Disney
Piccolo,Dragon Ball
Pickle,Baki
Pikachu,Pokemon
Pinhead,Horror
Plastic Man,DC
Pocahontas,Disney
Pochita,Chainsaw Man
Poe Dameron,Star Wars
Poison Ivy,DC
Polaris,Marvel
Polka-Dot Man,DC
Popeye,Popeye
Power,Chainsaw Man
Power Girl,DC
Predator,Horror
Pride,Fullmetal Alchemist
Professor X,Marvel
Proteus,Marvel
Psylocke,Marvel
Pucci,JoJo's Bizarre Adventure
Punisher,Marvel
Qin Shi Huang,Historical / Real World
Quasar,Marvel
Queen Elizabeth I,Historical / Real World
Queen Maeve,The Boys
Queen of Hearts,Disney
Qui-Gon Jinn,Star Wars
Quicksilver,Marvel
Ra's al Ghul,DC
Ragnar Lothbrok,Historical / Real World
Raiden,Mortal Kombat
Rama,Historical / Real World
Ramesses II,Historical / Real World
Rampage Jackson,Kengan / MMA
Raphael,Teenage Mutant Ninja Turtles
Rapunzel,Disney
Ratigan,Disney
Raven,DC
Raya,Disney
Rayquaza,Pokemon
Red Hood,DC
Red Hulk,Marvel
Red Skull,Marvel
Red Tornado,DC
Reigen Arataka,Mob Psycho 100
Reinhard van Astrea,Re:Zero
Remus Lupin,Harry Potter
Retsu Kaioh,Baki
Reverse Flash,DC
Rey,Star Wars
Richard Nixon,Historical / Real World
Richard the Lionheart,Historical / Real World
Rick Deckard,Blade Runner
Riddick,Riddick
Riddler,DC
Rimuru Tempest,That Time I Got Reincarnated as a Slime
Robin,Disney
Robin Hood,Disney
RoboCop,RoboCop
Rocket Raccoon,Marvel
Rogue,Marvel
Ron Weasley,Harry Potter
Ronald Reagan,Historical / Real World
Roronoa Zoro,One Piece
Roy Batty,Blade Runner
Roy Mustang,Fullmetal Alchemist
Rutherford B. Hayes,Historical / Real World
Ryu,Street Fighter
Ryuk,Death Note
Saber,Fate
Sabretooth,Marvel
Saint Walker,DC
Saitama,One Punch Man
Saladin,Historical / Real World
Samurai Jack,Samurai Jack
Samus Aran,Metroid
Samwise Gamgee,Lord of the Rings
Sandor Clegane,Game of Thrones
Sarah Connor,Terminator
Saruman,Lord of the Rings
Sasuke Uchiha,Naruto
Sauron,Lord of the Rings
Savage Opress,Star Wars
Scar,Disney
Scarecrow,DC
Scarlet Witch,Marvel
Scorpion,Mortal Kombat
Scorpion King,The Mummy
Scrooge McDuck,Disney
Sekiro,Sekiro
Sentry,Marvel
Sentry Void,Marvel
Sephiroth,Final Fantasy
Sergeant Calhoun,Disney
Sergeant Johnson,Halo
Severus Snape,Harry Potter
Shaka Zulu,Historical / Real World
Shan Yu,Disney
Shang,Disney
Shang Tsung,Mortal Kombat
Shanks,One Piece
Shao Kahn,Mortal Kombat
Shazam,DC
She-Hulk,Marvel
Shego,Kim Possible
Shere Khan,Disney
Sherlock Holmes,Sherlock Holmes
Shinra Kusakabe,Fire Force
Shredder,Teenage Mutant Ninja Turtles
Shrek,Shrek
Shuma-Gorath,Marvel
Shuri,Marvel
Silk,Marvel
Silva (Skyfall),James Bond
Silver Surfer,Marvel
Silvers Rayleigh,One Piece
Simba,Disney
Simon the Digger,Gurren Lagann
Sinestro,DC
Sirius Black,Harry Potter
Sitting Bull,Historical / Real World
Skaar,Marvel
Slapstick,Marvel
Smaug,Lord of the Rings
Snake Plissken,Escape from New York
Soldier Boy,The Boys
Solid Snake,Metal Gear
Solomon Grundy,DC
Songbird,Marvel
Sonic the Hedgehog,Sonic
Sosuke Aizen,Bleach
Spartacus,Historical / Real World
Spawn,Needs Review / Unknown
Spider-Ham,Marvel
Spider-Man,Marvel
Spider-Woman,Marvel
SpongeBob SquarePants,SpongeBob SquarePants
Squirrel Girl,Marvel
Stannis Baratheon,Game of Thrones
Stansfield,Leon: The Professional
Star-Lord,Marvel
Starfire,DC
Starlight,The Boys
Starscourge Radahn,Elden Ring
Starscream,Transformers
Stature,Marvel
Steel,DC
Steppenwolf,DC
Steve Leonard,Darren Shan Saga
Stilt-Man,DC
Stitch,Lilo & Stitch
Storm,Marvel
Stormfront,The Boys
Sub-Zero,Mortal Kombat
Sukuna,Jujutsu Kaisen
Suleiman the Magnificent,Historical / Real World
Sun Tzu,Historical / Real World
Sun Wukong,Needs Review / Unknown
Sung Jin-Woo,Solo Leveling
Superboy,DC
Superboy-Prime,DC
Supergirl,DC
Superman,DC
Swamp Thing,DC
Syndra,League of Legends
Syndrome,Disney
T'Challa Black Panther,Marvel
Talia al Ghul,DC
Talion,Middle-earth: Shadow of Mordor
Tamatoa,Disney
Tanjiro Kamado,Demon Slayer
Tarzan,Disney
Te K■■,Disney
Tequila,Hard Boiled
Tetsuo Shima,Akira
Thanos,Marvel
The Atom,DC
The Beast,Needs Review / Unknown
The Beyonder,Marvel
The Bride (Beatrix Kiddo),Kill Bill
The Bride of Frankenstein,Horror
The Darkest Knight,DC
The Didact,Halo
The Driver,Drive
The Evil Queen,Disney
The Horned King,Disney
The Hunter (Bloodborne),Bloodborne
The Lich,Adventure Time
The Mandalorian,Star Wars
The Mask,Needs Review / Unknown
The One Above All,Marvel
The One Below All,Marvel
The Predator,Horror
The Presence,DC
The Punisher,Marvel
The Question,DC
The Spectre,DC
The Terminator,Terminator
The Thing,Marvel
Theodore Roosevelt,Historical / Real World
Thing,DC
Thomas Jefferson,Historical / Real World
Thor,Marvel
Throg,Marvel
Tigra,Marvel
Tim Johnston,Custom / A.v.A
Tokugawa Ieyasu,Historical / Real World
Tomura Shigaraki,My Hero Academia
Toph Beifong,Avatar: The Last Airbender
Toshiro Hitsugaya,Bleach
Trigon,DC
Troy Wilson,Custom / A.v.A
Tryndamere,League of Legends
Two-Face,DC
Tyrion Lannister,Game of Thrones
US Agent,Marvel
Ulquiorra Cifer,Bleach
Ultron,Marvel
Ulysses S. Grant,Historical / Real World
Uncle Ben,Marvel
Ursula,Disney
Valkyrie,Marvel
Vancha March,Darren Shan Saga
Vandal Savage,DC
Vanellope von Schweetz,Disney
Vecna,Needs Review / Unknown
Vegeta,Dragon Ball
Vegito,Dragon Ball
Venom,Marvel
Vergil,Devil May Cry
Viego the Ruined King,League of Legends
Vincent (Collateral),Collateral
Violet Parr,Disney
Vision,Marvel
Vlad the Impaler,Historical / Real World
Voldemort,Harry Potter
Vulcan,Marvel
Wally West,DC
Walter White,Breaking Bad
War Machine,Marvel
WarGreymon,Digimon
Warpath,Marvel
Warren G. Harding,Historical / Real World
Wasabi,Disney
Wasp,Marvel
White Tiger,Marvel
Whitebeard,One Piece
Wildcat,DC
William Henry Harrison,Historical / Real World
William Howard Taft,Historical / Real World
William McKinley,Historical / Real World
William Wallace,Historical / Real World
Winter Soldier,Needs Review / Unknown
Wiz Khalifa,Real World / Music
Wolverine,Marvel
Wonder Man,Marvel
Wonder Woman,DC
Woodrow Wilson,Historical / Real World
Wrath,Fullmetal Alchemist
Wreck-It Ralph,Disney
Wu Zetian,Historical / Real World
Xenomorph,Horror
Xerxes,Historical / Real World
Yasuo,League of Legends
Yennefer of Vengerberg,The Witcher
Yhwach,Bleach
Yoda,Star Wars
Yokai,Disney
Yoriichi Tsugikuni,Demon Slayer
Yoruichi Shihoin,Bleach
Yoshikage Kira,JoJo's Bizarre Adventure
Yoshimura,Bleach / Anime
Yujiro Hanma,Baki
Yuno,Black Clover
Yusuke Urameshi,Yu Yu Hakusho
Yuta Okkotsu,Jujutsu Kaisen
Yzma,Disney
Zachary Taylor,Historical / Real World
Zagreus,Hades
Zamasu,Dragon Ball
Zatanna,DC
Zatara,DC
Zebediah Killgrave,DC
Zed,League of Legends
Zenitsu Agatsuma,Demon Slayer
Zeno,Dragon Ball
Zeref Dragneel,Fairy Tail
Zero Two,Darling in the Franxx
Zeus,Historical / Real World
Zhuge Liang,Historical / Real World
Zira,Disney
Zoom,DC
Zuko,Avatar: The Last Airbender
Blade (Daywalker),Marvel
Moon Girl,Marvel
Static Shock,DC
Raven (Teen Titans),DC
Forge,Marvel
Lady Deathstrike,Marvel
Shang-Chi,Marvel
Ironheart,Marvel
Nova (Richard Rider),Marvel
Red Robin,DC
Nightwing (Dick Grayson),DC
Batwing,DC
Huntress (Helena),DC
Kitty Pryde,Marvel
Storm (Ororo Munroe),Marvel
Jean Grey (Phoenix),Marvel
Deadshot,DC
Reverse Flash (Eobard Thawne),DC
Goku Black,Dragon Ball
Future Trunks,Dragon Ball
Android 17,Dragon Ball
Android 18,Dragon Ball
Whis,Dragon Ball
Gohan Beast,Dragon Ball
Naruto (Baryon Mode),Naruto
Boruto Uzumaki,Boruto
Momoshiki,Boruto
Nezuko,Demon Slayer
Rengoku,Demon Slayer
Toji Fushiguro,Jujutsu Kaisen
Denji (Chainsaw Devil),Chainsaw Man
Mikasa Ackerman,Attack on Titan
Armin Arlert,Attack on Titan
Kratos (Young),God of War
Thor (God of War),God of War
Link (BOTW),Zelda
Zelda (BOTW),Zelda
Shadow the Hedgehog,Sonic
Knuckles,Sonic
Luigi,Mario
Thanos (Infinity Gauntlet),Marvel
Batman (Arkham),DC
Superman (Injustice),DC
Homelander (TV),The Boys
Saitama (Serious Mode),One Punch Man
Garou,One Punch Man
Dean Winchester,Supernatural
Sam Winchester,Supernatural
Castiel,Supernatural
Crowley,Supernatural
Lucifer (Supernatural),Supernatural
Michael (Supernatural),Supernatural
Rowena,Supernatural
Jack Kline,Supernatural
Bobby Singer,Supernatural
A-Train,The Boys
Black Noir,The Boys
The Deep,The Boys
Translucent,The Boys
Stormfront (Comics),The Boys
Soldier Boy (Comics),The Boys
Floyd Mayweather,Boxing
Manny Pacquiao,Boxing
George Foreman,Boxing
Joe Frazier,Boxing
Rocky Marciano,Boxing
Canelo Alvarez,Boxing
Tyson Fury,Boxing
Evander Holyfield,Boxing
Terrax,Marvel
Gladiator (Kallark),Marvel
Mojo,Marvel
Spiral,Marvel
Longshot,Marvel
The Collector,Marvel
The Grandmaster,Marvel
Nova (Sam Alexander),Marvel
A-Bomb,Marvel
Red She-Hulk,Marvel
Hulkling,Marvel
Wiccan,Marvel
The Sentry,Marvel
Hyperion (Squadron Supreme),Marvel
Kang Prime,Marvel
Lightray,DC
Desaad,DC
Kalibak,DC
