Character,Universe,Status
"Freddy Krueger (Dream World)","Horror",missing_from_roster
"Ghostface","Horror",missing_from_roster
"Gremlin (Stripe)","Horror",missing_from_roster
"Hellboy (Demon Form)","Horror",missing_from_roster
"Hereditary Demon (Paimon)","Horror",missing_from_roster
"Hoffman (Saw)","Horror",missing_from_roster
"Insidious Bride in Black","Horror",missing_from_roster
"Insidious Lipstick Demon","Horror",missing_from_roster
"Invisible Man","Horror",missing_from_roster
"It Follows Entity","Horror",missing_from_roster
"Jason Voorhees (Uber Jason)","Horror",missing_from_roster
"Jigsaw","Horror",missing_from_roster
"Ju-On Spirit","Horror",missing_from_roster
"Kayako Saeki","Horror",missing_from_roster
"Krampus","Horror",missing_from_roster
"Leatherface","Horror",missing_from_roster
"Maxine (X)","Horror",missing_from_roster
"Michael Myers (Halloween Kills)","Horror",missing_from_roster
"Midsommar Cultist","Horror",missing_from_roster
"Nosferatu","Horror",missing_from_roster
"Pazuzu","Horror",missing_from_roster
"Pearl (X)","Horror",missing_from_roster
"Pennywise (IT 2017)","Horror",missing_from_roster
"Pinhead (Hell Priest)","Horror",missing_from_roster
"Predalien","Horror",missing_from_roster
"Predator (City Hunter)","Horror",missing_from_roster
"Predator (Jungle Hunter)","Horror",missing_from_roster
"Pumpkinhead","Horror",missing_from_roster
"Regan MacNeil","Horror",missing_from_roster
"Resident Evil Licker","Horror",missing_from_roster
"Resident Evil Nemesis (Mr. X)","Horror",missing_from_roster
"Sadako (Ringu)","Horror",missing_from_roster
"Samara Morgan","Horror",missing_from_roster
"Security Breach Glamrock Freddy","Horror",missing_from_roster
"Security Breach Vanny","Horror",missing_from_roster
"Silent Hill Nurse","Horror",missing_from_roster
"Silent Hill Pyramid Head","Horror",missing_from_roster
"Slender Man","Horror",missing_from_roster
"Smile Entity","Horror",missing_from_roster
"Spawn (Necroplasm)","Horror",missing_from_roster
"Springtrap","Horror",missing_from_roster
"Terrifier","Horror",missing_from_roster
"The Autopsy of Jane Doe Entity","Horror",missing_from_roster
"The Black Phone Grabber","Horror",missing_from_roster
"The Blair Witch","Horror",missing_from_roster
"The Collector (The Collector)","Horror",missing_from_roster
"The Conjuring Crooked Man","Horror",missing_from_roster
"The Conjuring Demon","Horror",missing_from_roster
"The Creeper (Jeepers Creepers)","Horror",missing_from_roster
"The Crooked Man","Horror",missing_from_roster
"The Descent Crawlers","Horror",missing_from_roster
"The Evil Dead Tree","Horror",missing_from_roster
"The Exorcist Believer Demon","Horror",missing_from_roster
"The Exorcist Demon","Horror",missing_from_roster
"The Fly (Brundlefly)","Horror",missing_from_roster
"The Grudge (Onryo)","Horror",missing_from_roster
"The Grudge House","Horror",missing_from_roster
"The Hills Have Eyes Mutant","Horror",missing_from_roster
"The Invisible Man (2020)","Horror",missing_from_roster
"The Lich King (Horror Adjacent)","Horror",missing_from_roster
"The Lighthouse Keeper (Psych)","Horror",missing_from_roster
"The Menu Chef (Psych Horror)","Horror",missing_from_roster
"The Mist Behemoth","Horror",missing_from_roster
"The Mist Creatures","Horror",missing_from_roster
"The Nun","Horror",missing_from_roster
"The Nun (Valak Form)","Horror",missing_from_roster
"The Nun II Demon","Horror",missing_from_roster
"The Orphan (Esther)","Horror",missing_from_roster
"The Predator (Upgrade)","Horror",missing_from_roster
"The Ring Tape Spirit","Horror",missing_from_roster
"The Ring Well Spirit","Horror",missing_from_roster
"The Ritual Creature","Horror",missing_from_roster
"The Shining Jack Torrance","Horror",missing_from_roster
"The Shining Overlook","Horror",missing_from_roster
"The Strangers","Horror",missing_from_roster
"The Tall Man (Phantasm)","Horror",missing_from_roster
"The Thing (John Carpenter)","Horror",missing_from_roster
"The Thing Dog Creature","Horror",missing_from_roster
"The Witch (Black Phillip)","Horror",missing_from_roster
"The Wolfman","Horror",missing_from_roster
"Tiffany Valentine","Horror",missing_from_roster
"Underworld Selene","Horror",missing_from_roster
"Underworld Viktor","Horror",missing_from_roster
"Valak","Horror",missing_from_roster
"Van Helsing Dracula","Horror",missing_from_roster
"Wrong Turn Cannibal","Horror",missing_from_roster
"Xenomorph Queen","Horror",missing_from_roster
"Nyarlathotep","Lovecraft Mythos",missing_from_roster
"T'Challa Black Panther","Marvel",missing_from_roster
"The One Above All (True Form)","Marvel",missing_from_roster
"Fry (Time Travel)","Mixed",missing_from_roster
"Hades (Mythology)","Mixed",missing_from_roster
"Hellboy (Full Power)","Mixed",missing_from_roster
"Hercules (Myth)","Mixed",missing_from_roster
"Homer (Treehouse of Horror)","Mixed",missing_from_roster
"John Constantine (DC)","Mixed",missing_from_roster
"Morty (Evil Morty Prime)","Mixed",missing_from_roster
"Patrick (Toon Force)","Mixed",missing_from_roster
"Peter Griffin (Chicken Fight)","Mixed",missing_from_roster
"Randy (Tegridy)","Mixed",missing_from_roster
"Rick Sanchez (Prep)","Mixed",missing_from_roster
"Spawn (God Form)","Mixed",missing_from_roster
"SpongeBob (Toon Force)","Mixed",missing_from_roster
"Stewie (Time Machine)","Mixed",missing_from_roster
"Sypha Belnades","Mixed",missing_from_roster
"Trevor Belmont","Mixed",missing_from_roster
"Vilgax (Conqueror)","Mixed",missing_from_roster
"Zeus (Mythology)","Mixed",missing_from_roster
"Fujin","Mortal Kombat",missing_from_roster
"Geras","Mortal Kombat",missing_from_roster
"Havik","Mortal Kombat",missing_from_roster
"Hotaru","Mortal Kombat",missing_from_roster
"Hsu Hao","Mortal Kombat",missing_from_roster
"Jacqui Briggs","Mortal Kombat",missing_from_roster
"Jax Briggs","Mortal Kombat",missing_from_roster
"Kabal","Mortal Kombat",missing_from_roster
"Kano","Mortal Kombat",missing_from_roster
"Kenshi","Mortal Kombat",missing_from_roster
"Khameleon","Mortal Kombat",missing_from_roster
"Kintaro","Mortal Kombat",missing_from_roster
"Kira","Mortal Kombat",missing_from_roster
"Kobra","Mortal Kombat",missing_from_roster
"Kollector","Mortal Kombat",missing_from_roster
"Kotal Kahn","Mortal Kombat",missing_from_roster
"Kronika","Mortal Kombat",missing_from_roster
"Kung Lao","Mortal Kombat",missing_from_roster
"Li Mei","Mortal Kombat",missing_from_roster
"Mavado","Mortal Kombat",missing_from_roster
"Meat","Mortal Kombat",missing_from_roster
"Mokap","Mortal Kombat",missing_from_roster
"Motaro","Mortal Kombat",missing_from_roster
"Nightwolf","Mortal Kombat",missing_from_roster
"Nitara","Mortal Kombat",missing_from_roster
"Noob Saibot","Mortal Kombat",missing_from_roster
"Onaga","Mortal Kombat",missing_from_roster
"Quan Chi","Mortal Kombat",missing_from_roster
"Rain","Mortal Kombat",missing_from_roster
"Reptile","Mortal Kombat",missing_from_roster
"Sheeva","Mortal Kombat",missing_from_roster
"Shujinko","Mortal Kombat",missing_from_roster
"Sindel","Mortal Kombat",missing_from_roster
"Skarlet","Mortal Kombat",missing_from_roster
"Smoke","Mortal Kombat",missing_from_roster
"Sonya Blade","Mortal Kombat",missing_from_roster
"Stryker","Mortal Kombat",missing_from_roster
"Takeda","Mortal Kombat",missing_from_roster
"Tanya","Mortal Kombat",missing_from_roster
"Triborg","Mortal Kombat",missing_from_roster
"The White Witch","Narnia",missing_from_roster
"Aang (Nick)","Nickelodeon",missing_from_roster
"Jimmy Neutron","Nickelodeon",missing_from_roster
"Korra","Nickelodeon",missing_from_roster
"Patrick Star","Nickelodeon",missing_from_roster
"Sheen Estevez","Nickelodeon",missing_from_roster
"SpongeBob","Nickelodeon",missing_from_roster
"Squidward","Nickelodeon",missing_from_roster
"Timmy Turner","Nickelodeon",missing_from_roster
"Wanda","Nickelodeon",missing_from_roster
"Jerry Smith","Rick and Morty",missing_from_roster
"Morty Smith","Rick and Morty",missing_from_roster
"Rick Sanchez","Rick and Morty",missing_from_roster
"Summer Smith","Rick and Morty",missing_from_roster
"SCP-096","SCP",missing_from_roster
"SCP-173","SCP",missing_from_roster
"SCP-682","SCP",missing_from_roster
"The Scarlet King","SCP",missing_from_roster
"Kenny McCormick","South Park",missing_from_roster
"Kyle Broflovski","South Park",missing_from_roster
"Mr Garrison","South Park",missing_from_roster
"Randy Marsh","South Park",missing_from_roster
"Stan Marsh","South Park",missing_from_roster
"G","Street Fighter",missing_from_roster
"Gill","Street Fighter",missing_from_roster
"Hakan","Street Fighter",missing_from_roster
"Hugo","Street Fighter",missing_from_roster
"Ibuki","Street Fighter",missing_from_roster
"Jamie","Street Fighter",missing_from_roster
"JP","Street Fighter",missing_from_roster
"Juri","Street Fighter",missing_from_roster
"Kage","Street Fighter",missing_from_roster
"Karin","Street Fighter",missing_from_roster
"Kimberly","Street Fighter",missing_from_roster
"Laura","Street Fighter",missing_from_roster
"Lily","Street Fighter",missing_from_roster
"Luke","Street Fighter",missing_from_roster
"Makoto","Street Fighter",missing_from_roster
"Manon","Street Fighter",missing_from_roster
"Marisa","Street Fighter",missing_from_roster
"Menat","Street Fighter",missing_from_roster
"Necalli","Street Fighter",missing_from_roster
"Oro","Street Fighter",missing_from_roster
"Poison","Street Fighter",missing_from_roster
"Q","Street Fighter",missing_from_roster
"Rashid","Street Fighter",missing_from_roster
"Remy","Street Fighter",missing_from_roster
"Rolento","Street Fighter",missing_from_roster
"Rose","Street Fighter",missing_from_roster
"Rufus","Street Fighter",missing_from_roster
"Sagat","Street Fighter",missing_from_roster
"Sean","Street Fighter",missing_from_roster
"Seth","Street Fighter",missing_from_roster
"T. Hawk","Street Fighter",missing_from_roster
"Urien","Street Fighter",missing_from_roster
"Vega","Street Fighter",missing_from_roster
"Zangief","Street Fighter",missing_from_roster
"Zeku","Street Fighter",missing_from_roster
"Johnny Test","Teletoon",missing_from_roster
"Total Drama Duncan","Teletoon",missing_from_roster
"Total Drama Gwen","Teletoon",missing_from_roster
"Total Drama Owen","Teletoon",missing_from_roster
"Homer Simpson","The Simpsons",missing_from_roster
"Krusty the Clown","The Simpsons",missing_from_roster
"Lisa Simpson","The Simpsons",missing_from_roster
"Marge Simpson","The Simpsons",missing_from_roster
"Milhouse","The Simpsons",missing_from_roster
"Moe Szyslak","The Simpsons",missing_from_roster
"Mr Burns","The Simpsons",missing_from_roster
"Ned Flanders","The Simpsons",missing_from_roster
"Sideshow Bob","The Simpsons",missing_from_roster
"Primus","Transformers",missing_from_roster
"Unicron","Transformers",missing_from_roster
"Fortnite Jonesy","Video Game",missing_from_roster
"Fortnite Midas","Video Game",missing_from_roster
"Fortnite Peely","Video Game",missing_from_roster
"Ganondorf (Demon King)","Video Game",missing_from_roster
"Genji","Video Game",missing_from_roster
"Geralt (Master)","Video Game",missing_from_roster
"Knuckles (Master Emerald)","Video Game",missing_from_roster
"Lady Maria (Nightmare)","Video Game",missing_from_roster
"Lilith","Video Game",missing_from_roster
"Link (TOTK)","Video Game",missing_from_roster
"Luigi (Poltergust)","Video Game",missing_from_roster
"Malenia (Goddess)","Video Game",missing_from_roster
"Mario (Fire Flower)","Video Game",missing_from_roster
"Master Chief (Mjolnir)","Video Game",missing_from_roster
"Noctis (Armiger)","Video Game",missing_from_roster
"Odin (Ragnarok)","Video Game",missing_from_roster
"Overwatch Tracer","Video Game",missing_from_roster
"Radahn (Starscourge)","Video Game",missing_from_roster
"Raiden (Cyborg)","Video Game",missing_from_roster
"Reaper","Video Game",missing_from_roster
"Ridley","Video Game",missing_from_roster
"Samus (Power Suit)","Video Game",missing_from_roster
"Sephiroth (Safer)","Video Game",missing_from_roster
"Shadow (Chaos Control)","Video Game",missing_from_roster
"Sigma","Video Game",missing_from_roster
"Solid Snake (Old Snake)","Video Game",missing_from_roster
"Sonic (Super)","Video Game",missing_from_roster
"Thor (Ragnarok)","Video Game",missing_from_roster
"Tyrael","Video Game",missing_from_roster
"Yennefer (Mage)","Video Game",missing_from_roster
"Zelda (Sage)","Video Game",missing_from_roster
"Alita: Battle Angel","Alita",only_in_roster
"Amara","Supernatural",only_in_roster
"Asura's Wrath","Asura's Wrath",only_in_roster
"Chainsaw Man","Chainsaw Man",only_in_roster
"Bourne","Bourne",only_in_roster
"Death","Mythology",only_in_roster
"Death (DC)","DC",only_in_roster
"T'Challa / Black Panther","Multiverse Comics",only_in_roster
"Martian Manhunter's Nemesis (Despero)","Legacy Comics",only_in_roster
"Boruto","Boruto",only_in_roster
"Pitt","Full Bleed Studios",only_in_roster
"Ben 10","Ben 10",only_in_roster
"Deontay Wilder","Boxing",only_in_roster
"Djinn","Wishmaster",only_in_roster
"Edd,"Ed","Edd n Eddy"",only_in_roster
"Devilman","Devilman",only_in_roster
"Abaddon","Supernatural",only_in_roster
"Adventure Time","Adventure Time",only_in_roster
"Akira","Akira",only_in_roster
"Alien","Alien",only_in_roster
"Doctor Light","DC",only_in_roster
"Giorno Giovanna (Gold Experience Requiem)","Variants",only_in_roster
"X-23","Multiverse Comics",only_in_roster
"Doom","Doom",only_in_roster
"Dirty Harry","Dirty Harry",only_in_roster
"L","Death Note",only_in_roster
"Anthony Joshua","Boxing",only_in_roster
"Delirium","DC",only_in_roster
"Cain","Mythology",only_in_roster
"Desire","DC",only_in_roster
"Baki","Baki the Grappler",only_in_roster
"Cory Peters","Developer Legends",only_in_roster
"2B","NieR: Automata",only_in_roster
"Te Kā","Kingdom",only_in_roster
"Terminator T-3000","Terminator",only_in_roster
"V","Films",only_in_roster
"A2","NieR: Automata",only_in_roster
"Terminator T-800","Terminator",only_in_roster
"Eddy,"Ed","Edd n Eddy"",only_in_roster
"T-1000","Terminator",only_in_roster
"9S","NieR: Automata",only_in_roster
"Naruto","Naruto",only_in_roster
